author:jdh, total:   10
author:kad, total:    8
author:cli, total:    6
author:red, total:    6
author:ggk, total:    5
author:sim, total:    5
author:jue, total:    5
author:zii, total:    4
author:dod, total:    4
author:sai, total:    4
author:wls, total:    4
author:una, total:    3
author:dic, total:    3
author:par, total:    3
author:mod, total:    3
author:cle, total:    3
author:k44, total:    3
author:yak, total:    3
author:a04, total:    3
author:sky, total:    3
author:rea, total:    3
author:sma, total:    3
author:mk1, total:    3
author:ryu, total:    3
author:kdy, total:    2
author:ala, total:    2
author:ady, total:    2
author:jhk, total:    2
author:pir, total:    2
author:can, total:    2
author:gus, total:    2
author:mel, total:    2
author:bla, total:    2
author:cad, total:    2
author:tam, total:    2
author:chu, total:    2
author:pjg, total:    2
author:sas, total:    2
author:nos, total:    2
author:eof, total:    2
author:cro, total:    2
author:404, total:    2
author:pow, total:    2
author:aqu, total:    2
author:soh, total:    2
author:gui, total:    2
author:cho, total:    2
author:whi, total:    2
author:ram, total:    2
author:kp8, total:    2
