author:jdhun, total:   14
author:kadeo, total:   10
author:cliss, total:    7
author:redmi, total:    6
author:juesr, total:    5
author:ggksm, total:    5
author:simon, total:    5
author:clear, total:    4
author:k4404, total:    4
author:a0408, total:    4
author:ziiky, total:    4
author:wlsrn, total:    4
author:saint, total:    4
author:dodoh, total:    4
author:modem, total:    3
author:mk18d, total:    3
author:yakae, total:    3
author:park3, total:    3
author:unan2, total:    3
author:smaug, total:    3
author:piran, total:    3
author:iih11, total:    3
author:megag, total:    3
author:ryu85, total:    3
author:sky47, total:    3
author:realg, total:    3
author:Lee_t, total:    3
author:dicer, total:    3
author:pomko, total:    3
author:labis, total:    2
author:404pa, total:    2
author:edwer, total:    2
author:canip, total:    2
author:myfoo, total:    2
author:shee3, total:    2
author:famou, total:    2
author:dacem, total:    2
author:cassp, total:    2
author:pjg56, total:    2
author:blue0, total:    2
author:euler, total:    2
author:chull, total:    2
author:kimju, total:    2
author:white, total:    2
author:dahli, total:    2
author:kagam, total:    2
author:gui34, total:    2
author:choic, total:    2
author:aquar, total:    2
author:hinag, total:    2
