author:as, total:   11
author:ju, total:    9
author:jd, total:    7
author:le, total:    5
author:ma, total:    5
author:tc, total:    4
author:ka, total:    4
author:in, total:    4
author:ho, total:    4
author:li, total:    4
author:al, total:    3
author:hb, total:    3
author:ca, total:    3
author:we, total:    2
author:ca, total:    2
author:th, total:    2
author:je, total:    2
author:ti, total:    2
author:my, total:    2
author:no, total:    2
author:sk, total:    2
author:ch, total:    2
author:xh, total:    2
author:bl, total:    2
author:mi, total:    2
author:sm, total:    2
author:nx, total:    2
author:pi, total:    2
author:st, total:    2
author:dk, total:    2
author:ta, total:    1
author:ro, total:    1
author:ra, total:    1
author:pe, total:    1
author:ho, total:    1
author:mr, total:    1
author:ze, total:    1
author:dl, total:    1
author:yh, total:    1
author:li, total:    1
author:ro, total:    1
author:il, total:    1
author:mn, total:    1
author:re, total:    1
author:oh, total:    1
author:gr, total:    1
author:vi, total:    1
author:di, total:    1
author:la, total:    1
author:pa, total:    1
