user_id:ro, total:   33
user_id:cl, total:   12
user_id:ca, total:   12
user_id:ps, total:   11
user_id:lj, total:   11
user_id:ch, total:   10
user_id:ti, total:   10
user_id:da, total:   10
user_id:fr, total:   10
user_id:si, total:    8
user_id:42, total:    8
user_id:li, total:    8
user_id:js, total:    8
user_id:ju, total:    7
user_id:sp, total:    7
user_id:fl, total:    7
user_id:se, total:    7
user_id:ma, total:    7
user_id:re, total:    7
user_id:re, total:    7
user_id:gs, total:    7
user_id:ga, total:    6
user_id:lo, total:    6
user_id:an, total:    6
user_id:do, total:    6
user_id:pj, total:    6
user_id:gg, total:    6
user_id:cr, total:    5
user_id:ne, total:    5
user_id:gn, total:    5
user_id:fi, total:    5
user_id:sp, total:    5
user_id:pi, total:    5
user_id:wu, total:    5
user_id:do, total:    5
user_id:wk, total:    5
user_id:mo, total:    5
user_id:am, total:    5
user_id:tp, total:    5
user_id:cr, total:    4
user_id:hy, total:    4
user_id:mi, total:    4
user_id:f4, total:    4
user_id:jo, total:    4
user_id:re, total:    4
user_id:Ch, total:    4
user_id:ve, total:    4
user_id:gu, total:    4
user_id:wi, total:    4
user_id:lo, total:    4
