author:kad, total:   10
author:lik, total:    7
author:d11, total:    7
author:tiz, total:    6
author:III, total:    5
author:gak, total:    5
author:pre, total:    5
author:red, total:    5
author:gra, total:    4
author:pee, total:    4
author:phr, total:    4
author:pjg, total:    4
author:can, total:    4
author:suc, total:    4
author:lan, total:    4
author:dkk, total:    4
author:mal, total:    4
author:ggk, total:    4
author:dal, total:    4
author:cha, total:    4
author:myf, total:    4
author:skt, total:    3
author:xha, total:    3
author:did, total:    3
author:tib, total:    3
author:dah, total:    3
author:app, total:    3
author:mon, total:    3
author:421, total:    3
author:dmd, total:    3
author:jdh, total:    3
author:win, total:    3
author:yh0, total:    3
author:gmr, total:    3
author:kdy, total:    3
author:ham, total:    3
author:roy, total:    3
author:tpw, total:    3
author:hb8, total:    3
author:poo, total:    3
author:end, total:    3
author:sty, total:    3
author:you, total:    3
author:sav, total:    3
author:fiv, total:    2
author:dla, total:    2
author:cli, total:    2
author:kim, total:    2
author:chi, total:    2
author:ard, total:    2
