author:red, total:   22
author:pir, total:   17
author:jse, total:   15
author:ezj, total:    9
author:ran, total:    8
author:ide, total:    5
author:liv, total:    5
author:c10, total:    5
author:jin, total:    4
author:cyh, total:    4
author:glo, total:    4
author:elf, total:    4
author:lyl, total:    4
author:dra, total:    4
author:pan, total:    3
author:whg, total:    3
author:d11, total:    3
author:k44, total:    3
author:ero, total:    3
author:su6, total:    3
author:seo, total:    3
author:hin, total:    2
author:nos, total:    2
author:cor, total:    2
author:qwe, total:    2
author:psi, total:    2
author:yak, total:    2
author:cl2, total:    2
author:smi, total:    2
author:2uo, total:    2
author:tgr, total:    2
author:ask, total:    2
author:rai, total:    2
author:wkd, total:    2
author:exp, total:    2
author:hoo, total:    2
author:jkp, total:    2
author:zin, total:    2
author:hel, total:    2
author:kim, total:    2
author:hog, total:    2
author:ham, total:    2
author:mal, total:    1
author:rad, total:    1
author:cig, total:    1
author:wel, total:    1
author:cha, total:    1
author:sin, total:    1
author:sla, total:    1
author:hae, total:    1
